strekkode;vare;beskrivelse;kategori;enhet
0016229906436;"'Prodhead'&gt;yellow Curry Paste 400g";aroy-d;mat;stk
0016229906450;Tom Yum Paste 400 g;Aroy-D;mat;stk
0016229906511;Pâte de Tom Kha 400g;Aroy-D;drikke;stk
0017072005284;Landemannen Surdeigsbrød;Coop- Smak;mat;stk
0018122819523;Habanero;I ❤️ Aruba heat;mat;stk
0020429531565;Grovt Landbrød;Kolonihagen;mat;stk
0020840040585;Nada;Klokk & Co;mat;stk
0022644075060;Krikita 125 g;;mat;stk
0023562080020;Fresh Garlic;The Garlic Company;mat;stk
0024000063056;Mixed Fruit Tropical 3x220g Del Monte 660 g;Arvid nordquist;mat;stk
0024000106128;Del Monte Jackfruit 400g;ARVID NORDQUIST NORGE AS;mat;stk
00244145;Grovt Speltbrød;Smak Coop;mat;stk
0025414072160;Kjøttdeig Storfe;Coop;mat;stk
0028571011034;F.D.C.Erter Petit Pois 425g;OLUF LORENTZEN AS;mat;stk
0032894035042;Hommos Tahina Dip 400g;Americana;mat;stk
0034000005116;Sundae Sirup Karamel 425g Hersheys 425 g;Oluf lorentzen as;mat;stk
0035585129082;Kong Flyer L Freesbee Ø22;DOGMAN AS;mat;stk
0035585246000;Kong Belly Flops Lobster Rød;DOGMAN AS;mat;stk
0035585360348;Kong Phatz Flodhest Lilla;DOGMAN AS;mat;stk
0035585360355;Kong Phatz Løve Brun M;DOGMAN AS;mat;stk
0035585399003;Kong Bobble Mouse Blandede Farger;DOGMAN AS;mat;stk
0035585775159;Kong Tennisball Gul 3pk S;DOGMAN AS;mat;stk
0035585775203;Kong Tennisball Gul 3pk M;DOGMAN AS;mat;stk
0037600160490;Skippy super chunk 340g;Skippy;mat;stk
0040410000306;Leverpostei (glutenfri) 100 g;Stabburet;mat;stk
0041024043215;Micro popkorn med smørsmak 3x100;Eldorado;mat;stk
0041143020128;Rosiner 6x42g Sun Maid 6 piece;Arvid nordquist;mat;stk
0041143024966;Rosiner Økologisk 250g Sun Maid 250 g;Arvid nordquist;mat;stk
0041143028919;Rosiner 500 g;Arvid nordquist;mat;stk
0041143050361;Sour Raising Snacks;Sun Mais;mat;stk
0041143050378;Sun-Maid Rosiner Sour Watermelon 38g;ARVID NORDQUIST NORGE AS;mat;stk
0041143050668;Rosiner Sour Strawberry 6 x 37,7g, 226,2 g 226 g;Arvid Nordquist Norge AS;mat;stk
0041143050675;Sun-Maid Rosiner Sour Watermelon 6pk;ARVID NORDQUIST NORGE AS;mat;stk
0041143099094;Sun-Maid Sjokoladerosiner 200g;ARVID NORDQUIST NORGE AS;mat;stk
0041700029526;Rustica Double Pepperoni;Dr.Oetker;mat;stk
0042024546553;Kyllingkraft redusert 250 ml;Jacobs;mat;stk
0042272010127;Amy's Organic Linsesuppe Glutenfri 400g;SCANDINAVIAN FOOD COMPANY AS;mat;stk
0042272010134;Amy's Organic Ertesuppe Glutenfri 400g;SCANDINAVIAN FOOD COMPANY AS;mat;stk
0044020206103;Pizzasaus;Peppes Pizzq;mat;stk
0044190321064;Real Mayonnaise;Hellmann's;mat;stk
0046215909516;Norsk RØD Spisskål;BAMA;mat;stk
0046512009834;Mills Kaviar;Mills;mat;stk
0048327203421;Ybarra Oliven Olje 0,5l;HAUGEN-GRUPPEN AS;mat;stk
0048327203438;Ybarra Olivenolje 250ml;HAUGEN-GRUPPEN AS;mat;stk
0048412000065;Helmelk;Tine;mat;stk
0048412006647;Vanilje Kesam;Tine;mat;stk
0048412054730;Biola Blåbær;Tine;mat;stk
0048412064647;Protein Pudding;YT;mat;stk
0048412065477;Lettmelk Vaniljesmak;Tine;mat;stk
0048412066191;Litago Uten;Tine;mat;stk
0048412070884;Cottage cheese Vanilje;Tine;mat;stk
0048613953368;Gulost;Jarlsberg;mat;stk
0049000067729;Fanta Berry 12 fl oz (355 ml);Fanta;mat;stk
0049412019705;Vår Hjemmelagde med kjøttdeig 1kg;Grandiosa;mat;stk
0049412576581;Big One Bbq Chicken;Orkla;mat;stk
0050129301052;Salt & Pepper;Maarud;mat;stk
0051036108024;Hvitløk Baguette;Rema/Prima;mat;stk
0051160017575;Lemon & White Chocolate Cookies;Aunt Mabel’s;mat;stk
0052066000227;Pad thai instant noodles pcks thailand 70 g;Mama;mat;stk
00535540;Dumle Cookies - Gluten Free;Fazer;mat;stk
0054124001917;Kjøttboller Krydret med hvitløk 120g;Peppes Pizza;mat;stk
0056036005106;Cider eple og drue, uten tilsatt sukker;Grans;drikke;stk
0056424100635;Morbær;Sunrise;mat;stk
0058438805018;Coquillesvlees 10 / 20 DV Zonder Kuit 1 kg;Clearwater;mat;stk
0058444459700;Spekeskinke Lev Litt Lettere;Grilstad;mat;stk
0059411005531;Cheese Doodles;Olw;mat;stk
0059411008778;Potet Sticks orginal 215 g;Kims;mat;stk
0060383866976;whole kernel corn 750 g;no name;mat;stk
0060434430064;Tynne Eggnudler;Lotus Grand;mat;stk
0063273998849;Risotto Ris Arborio 1kg Fior Di Riso;Oluf lorentzen as;mat;stk
0066362276118;Sætre Marie;Kedem;mat;stk
0069540237024;Kylling tandoori 450g;Saritas;mat;stk
0070041420266;Uncooked, Peeled & Deveined Shrimp;CenSea;mat;stk
0070041420334;Shrimp, Uncooked 32 oz;CenSea;mat;stk
0070074670836;Original Nutrition Shake with Fiber, Vanilla;Ensure;mat;stk
0070100000019;Complete Meal Replacement Strawberry Sensation - Vivri - Vivri - Vivri;;mat;stk
0070177077679;Earl Grey Økologisk 25 poser, 25 stk 25 piece;Haugen-Gruppen AS;mat;stk
0070177077693;English Breakfast tea 50g;Twinings;drikke;stk
0070177078966;Earl Grey 50 poser 50 x 2g;Twinings;mat;stk
0070177090340;English Breakfast tea 100;Twinings of London;drikke;stk
0070177106065;Earl Grey 100 poser, 1 stk 100 piece;Haugen-Gruppen AS;mat;stk
0070177150242;Spicy Indian Chai Tea 20pos Twinings 20 piece;Haugen - gruppen as;mat;stk
0070177173227;Green Tea & Lemon;Twinings of London;mat;stk
0070177173296;Grønn Te Earl Grey 25 stk 25 piece;Haugen-Gruppen AS;drikke;stk
0070177173357;Grønn Te Chai 25pos Twinings 25 piece;Haugen - gruppen as;drikke;stk
0070177226558;Twinnings Infuso Ginger/Mango/Moringa 20 poser;HAUGEN-GRUPPEN AS;mat;stk
0070177227074;Twinings Cold In'fuse Passionfruit/Mango/Blodapp.12ps;HAUGEN-GRUPPEN AS;mat;stk
0070177228637;Tea Turmeric 20pos Twinings;Haugen - gruppen as;mat;stk
0070177228798;Twinnings Infuso Pink Grapefruit 12 poser;HAUGEN-GRUPPEN AS;mat;stk
0070177229610;Moment Of Calm Spiced Camomile & Vanilla With Roasted Chicory Root;Twinings of London;mat;stk
0070177234607;Summer Red Berries Herbal Tea;Twinings;mat;stk
0070258000060;Chew bar, caramel nut;;mat;stk
0070300020183;Milk, Low Fat, 1% Milkfat;;drikke;stk
0070491105041;Peach Purre Infused Syrup;Real;mat;stk
0070491321076;Grenadine Syrup;;mat;stk
0070491357501;lime juice;;drikke;stk
0070491358508;lemon juice;;drikke;stk
0070492165006;Udon, Original Flavor;Fortune;mat;stk
0070847032632;Monster dragon tea 458 ml;Monster Energy Company;mat;stk
0072151478038;Freemann Cosmic Rose Quartz Mask;ASPIRE BRANDS AS;mat;stk
0072417137327;Cartoonies 5 Pack 150 g;Jättöne;drikke;stk
0072417180644;Original Maryland Cookies Choc chip & Hazelnut;Conaxess trade norway;mat;stk
0072417180675;Double Choc Cookies;Maryland;mat;stk
0072600062863;Carolina reaper 184g;Herr's;mat;stk
0072600069145;Cheese Curls - Carolina Reaper flavoured 113 g;Herr's;mat;stk
0075076130050;Worcestershire sauce 147 ml;Reily Foods Company;mat;stk
0076808006773;Collezione tagliatelle;Barilla;mat;stk
0079581184102;Grapeberry Lemonade 473ml;Calypso;mat;stk
0079763180021;Six Fortune Mochi Delights 180 g;Six Fortune;mat;stk
0079763199559;Sesame Oil;Six Fortune;mat;stk
0083078611149;Carmex Leppebalsam Tube;MIDSONA NORGE AS;mat;stk
0083078611156;Carmex Leppepomade Krukke 7,5g 7.5 g;Rfsu norge as;mat;stk
0083111000053;Gull Salami 100g;Grilstad;mat;stk
0087614010083;Beta Carotene (Vitamin A);Swanson;mat;stk
0087614027005;Magnesium L-Threnoate;Swanson;mat;stk
0087614028163;Suntheanine L-Theanine;Swanson;mat;stk
0087614028354;Luteolin Complex 30 x 0.42;Swanson;mat;stk
0087703070523;Kimchi 160 g / 120g;Delief;mat;stk
